minute,hour,people,t_out,pm25_out,co2_ctrl,temp_ctrl,rh,pm25_ctrl,fan,valve,mode,co2_base,temp_base,pm25_base
0,0.0,29.0,7.104525001344032,14.686660344158632,613.58625,20.997802596567354,45.192,7.9840897518132135,15,5,auto,613.6,20.9993658375047,7.984
1,0.016666666666666666,29.0,6.722351476266379,11.504071838359703,627.1035309114583,20.994232529395266,45.38208,7.968191874970822,15,5,auto,627.1320000000001,20.997396287240367,7.968032
2,0.03333333333333333,29.0,6.190884747619856,12.494070212059132,640.5521928482897,20.9887554355336,45.5702592,7.952331843872176,15,5,auto,640.59634,20.993573496851692,7.952095936
3,0.05,29.0,7.340094637259364,15.08461309584216,653.9325841470945,20.98744964839983,45.756556608000004,7.936519363931128,15,5,auto,653.9933583000001,20.993786320843117,7.936191744128
4,0.06666666666666667,29.0,6.813224561915427,11.016318761976201,667.2450513761812,20.984245260274907,45.94099104192001,7.920713647151255,15,5,auto,667.3233915085001,20.992154354686868,7.920319360639744
5,0.08333333333333333,29.0,6.446452671994173,10.394051304007606,680.4899393445424,20.97972748454974,46.123581131500806,7.904935739059367,15,5,auto,680.5867745509576,20.989244398797442,7.904478721918465
6,0.1,29.0,6.313738542624111,11.389158324750756,693.6675911107865,20.974746599497035,46.304345320185796,7.889195467993233,15,5,auto,693.7838406782028,20.985880128300835,7.888669764474628
7,0.11666666666666667,29.0,6.916036316270398,14.817887195382394,706.7783479920226,20.971959508598875,46.483301866983936,7.873507630812329,15,5,auto,706.9149214748118,20.984635674958728,7.872892424945679
8,0.13333333333333333,29.0,6.864785082416397,13.46115148488914,719.8225495727021,20.968997340984288,46.660468848314096,7.857842878143111,15,5,auto,719.9803468674377,20.98321619788483,7.857146640095787
9,0.15,29.0,6.290146890520086,13.727651274859985,732.8005337134128,20.963969993731983,46.835864159830955,7.84221108358906,15,5,auto,732.9804451331005,20.97979045530905,7.841432346815596
10,0.16666666666666666,29.0,7.120840725871931,10.882826945833248,745.7126365596316,20.961961689251837,47.00950551823264,7.826593167586551,15,5,auto,745.915542907435,20.97928413125602,7.825749482121965
11,0.18333333333333332,29.0,7.448598622367262,11.605894646963868,758.5591925504297,20.961144665172714,47.18141046305032,7.811010906163109,15,5,auto,758.7859651928978,20.979926731974906,7.81009798315772
12,0.2,29.0,6.631545651447275,10.369477816713653,771.3405344271355,20.95737898873563,47.35159635841982,7.795452253381884,15,5,auto,771.5920353669334,20.977707398193058,7.794477787191405
13,0.21666666666666667,29.0,6.646120287308291,14.071310473718697,784.0569932419533,20.953679566676723,47.520080394835624,7.779947340216904,15,5,auto,784.3340751900987,20.975546843304958,7.778888831617023
14,0.23333333333333334,29.0,6.468588151066024,10.470456679151464,796.7088983665375,20.949352173937825,47.686879590887266,7.764451431660621,15,5,auto,797.0124048141482,20.97277248788212,7.763331053953789
15,0.25,29.0,6.955177343648781,12.282948036705823,809.296577500524,20.9467982173634,47.85201079497839,7.748997591257524,15,5,auto,809.6273427900775,20.971710904877302,7.747804391845881
16,0.26666666666666666,29.0,7.075595135861818,11.657831847546234,821.8203566800179,20.944688496231475,48.01549068702861,7.733570838380744,15,5,auto,822.1792060761271,20.971074499685745,7.73230878306219
17,0.2833333333333333,29.0,6.481819625382913,10.351060996842655,834.280560286038,20.94044138243553,48.17733578015832,7.718166953187852,15,5,auto,834.6683100457465,20.968362107625683,7.716844165496066
18,0.3,29.0,7.0476684526962545,10.860009580619213,846.6775110529194,20.938253740226845,48.33756242235674,7.702796986006692,15,5,auto,847.0949684955177,20.96763967983343,7.701410477165074
19,0.31666666666666665,29.0,6.719287450552765,12.53208252341906,859.0115300766715,20.934887724505394,48.496186798133174,7.687467976983433,15,5,auto,859.4594936530401,20.965770447030945,7.6860076562107436
20,0.3333333333333333,29.0,7.6321136943671775,12.820814811437364,871.2829368232962,20.934831453321518,48.65322493015184,7.672171390453313,15,5,auto,871.7621961847749,20.96710264839662,7.670635640898322
21,0.35,29.0,6.714654802846911,12.646712244794319,883.4920491370613,20.93146106517168,48.80869268085033,7.656904333136125,15,5,auto,884.003385203851,20.965219080937192,7.655294369616525
22,0.36666666666666664,29.0,7.428151710978668,13.766114353487167,895.6391832487335,20.930680360129653,48.962605754041824,7.641674650724235,15,5,auto,896.1833682778318,20.965839345142335,7.639983780877293
23,0.38333333333333336,29.0,7.53460345575331,13.2296316009149,907.7246537837694,20.93028703231259,49.11497969650141,7.626472149171459,15,5,auto,908.3024514364427,20.96683001952947,7.624703813315538
24,0.4,29.0,6.714894659416599,11.488738160076903,919.7487737704644,20.926933927365504,49.26582989953639,7.611289413828539,15,5,auto,920.3609391792604,20.964948245769076,7.609454405688907
25,0.4166666666666667,29.0,7.708762442619129,11.675608105786614,931.7118546480601,20.927183282876854,49.41517160054103,7.596138185939306,15,5,auto,932.3591344833641,20.96655159545805,7.594235496877529
26,0.43333333333333335,29.0,6.644921292907251,10.82419815719932,943.614206274812,20.923588611438085,49.56301988453562,7.5810120574450535,15,5,auto,944.2973388109473,20.96442588939912,7.579047025883773
27,0.45,29.0,7.6454674885436855,11.48022412262139,955.4561369360141,20.923621398881625,49.70938968569026,7.5659201902553574,15,5,auto,956.1758521168925,20.965809534996126,7.563888931832006
28,0.4666666666666667,29.0,6.420052894628113,14.246197388837176,967.2379533519847,20.919227257660005,49.85429578883336,7.5508754099700015,15,5,auto,967.9949728563081,20.962899386754835,7.548761153968342
